Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Albania	ALB	Account at a formal financial institution (% age 15+)	GFDD.AI.05	44.17417
Albania	ALB	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	9.658711
Albania	ALB	Account used to receive wages (% age 15+)	GFDD.AI.11	19.1055
Albania	ALB	Credit card (% age 15+)	GFDD.AI.20	4.943792
Albania	ALB	Debit card (% age 15+)	GFDD.AI.21	26.98413
Albania	ALB	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	17.64876
Albania	ALB	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	1.956897
Andorra	AND	Account at a formal financial institution (% age 15+)	GFDD.AI.05	..
Andorra	AND	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	..
Andorra	AND	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Andorra	AND	Credit card (% age 15+)	GFDD.AI.20	..
Andorra	AND	Debit card (% age 15+)	GFDD.AI.21	..
Andorra	AND	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	..
Andorra	AND	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	..
Belgium	BEL	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.0057
Belgium	BEL	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	56.95412
Belgium	BEL	Account used to receive wages (% age 15+)	GFDD.AI.11	53.34781
Belgium	BEL	Credit card (% age 15+)	GFDD.AI.20	49.82212
Belgium	BEL	Debit card (% age 15+)	GFDD.AI.21	96.18143
Belgium	BEL	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	97.25707
Belgium	BEL	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	33.65997
Belarus	BLR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	..
Belarus	BLR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	..
Belarus	BLR	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Belarus	BLR	Credit card (% age 15+)	GFDD.AI.20	..
Belarus	BLR	Debit card (% age 15+)	GFDD.AI.21	..
Belarus	BLR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	..
Belarus	BLR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	..
Bosnia and Herzegovina	BIH	Account at a formal financial institution (% age 15+)	GFDD.AI.05	79.33789
Bosnia and Herzegovina	BIH	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	18.66157
Bosnia and Herzegovina	BIH	Account used to receive wages (% age 15+)	GFDD.AI.11	37.31867
Bosnia and Herzegovina	BIH	Credit card (% age 15+)	GFDD.AI.20	18.03339
Bosnia and Herzegovina	BIH	Debit card (% age 15+)	GFDD.AI.21	61.44049
Bosnia and Herzegovina	BIH	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	51.08929
Bosnia and Herzegovina	BIH	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	9.960934
Bulgaria	BGR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	83.96652
Bulgaria	BGR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	23.11773
Bulgaria	BGR	Account used to receive wages (% age 15+)	GFDD.AI.11	34.85537
Bulgaria	BGR	Credit card (% age 15+)	GFDD.AI.20	23.26655
Bulgaria	BGR	Debit card (% age 15+)	GFDD.AI.21	71.28904
Bulgaria	BGR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	68.33024
Bulgaria	BGR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	14.78237
Croatia	HRV	Account at a formal financial institution (% age 15+)	GFDD.AI.05	91.80419
Croatia	HRV	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	25.23512
Croatia	HRV	Account used to receive wages (% age 15+)	GFDD.AI.11	49.19816
Croatia	HRV	Credit card (% age 15+)	GFDD.AI.20	35.74721
Croatia	HRV	Debit card (% age 15+)	GFDD.AI.21	67.53065
Croatia	HRV	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	74.97652
Croatia	HRV	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	33.29473
Denmark	DNK	Account at a formal financial institution (% age 15+)	GFDD.AI.05	100
Denmark	DNK	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	67.29295
Denmark	DNK	Account used to receive wages (% age 15+)	GFDD.AI.11	66.89298
Denmark	DNK	Credit card (% age 15+)	GFDD.AI.20	58.49581
Denmark	DNK	Debit card (% age 15+)	GFDD.AI.21	99.02137
Denmark	DNK	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	99.93474
Denmark	DNK	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	17.28182
Estonia	EST	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.37657
Estonia	EST	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	61.7771
