Date;Open NYA;High NYA;Low NYA;Close NYA;Adj Close NYA; Volume NYA;Open IXIC;High IXIC;Low IXIC;Close IXIC;Adj Close IXIC;Volume IXIC;Open RUT;High RUT;Low RUT;Close RUT;Adj Close RUT;Volume RUT
Jun 13, 2024;18,005.95;18,005.95;17,832.42;17,923.41;17,923.41;3,530,380,000;17,715.27;17,741.80;17,566.32;17,667.56;17,667.56;4,916,020,000;2,053.53;2,053.57;2,025.64;2,038.91;2,038.91;3,530,380,000
Jun 12, 2024;17,919.11;18,144.67;17,919.11;18,005.95;18,005.95;3,962,840,000;17,502.15;17,725.39;17,490.64;17,608.44;17,608.44;5,560,630,000;2,065.79;2,088.53;2,052.17;2,057.10;2,057.10;3,962,840,000
Jun 11, 2024;18,037.53;18,037.53;17,827.38;17,919.11;17,919.11;3,568,030,000;17,160.42;17,345.05;17,107.99;17,343.55;17,343.55;5,009,220,000;2,019.12;2,027.53;2,006.07;2,024.35;2,024.35;3,568,030,000
Jun 10, 2024;17,985.63;18,055.06;17,919.93;18,037.53;18,037.53;3,622,280,000;17,083.45;17,213.45;17,057.34;17,192.53;17,192.53;5,207,110,000;2,012.22;2,033.65;2,008.30;2,031.61;2,031.61;3,622,280,000
Jun 7, 2024;18,066.57;18,099.61;17,961.61;17,985.63;17,985.63;3,692,760,000;17,124.14;17,229.31;17,090.04;17,133.13;17,133.13;4,755,650,000;2,035.12;2,043.46;2,023.14;2,026.55;2,026.55;3,692,760,000
Jun 6, 2024;18,045.50;18,102.92;18,015.61;18,066.57;18,066.57;3,609,990,000;17,204.87;17,235.73;17,123.59;17,173.12;17,173.12;4,960,580,000;2,058.48;2,060.45;2,046.53;2,049.44;2,049.44;3,609,990,000
Jun 5, 2024;17,934.49;18,045.94;17,906.73;18,045.50;18,045.50;3,591,460,000;16,974.48;17,187.92;16,955.56;17,187.90;17,187.90;5,325,000,000;2,044.15;2,063.87;2,036.34;2,063.87;2,063.87;3,591,460,000
Jun 4, 2024;18,006.96;18,006.96;17,843.40;17,934.49;17,934.49;3,707,900,000;16,823.88;16,891.87;16,750.39;16,857.05;16,857.05;4,917,350,000;2,050.39;2,050.39;2,032.14;2,033.94;2,033.94;3,707,900,000
Jun 3, 2024;18,083.69;18,105.93;17,862.58;18,006.96;18,006.96;4,046,920,000;16,865.70;16,909.89;16,646.43;16,828.67;16,828.67;5,422,040,000;2,082.40;2,088.15;2,048.06;2,059.68;2,059.68;4,046,920,000
May 31, 2024;17,852.36;18,087.87;17,846.01;18,083.69;18,083.69;5,437,160,000;16,771.90;16,789.27;16,445.54;16,735.02;16,735.02;6,674,090,000;2,061.23;2,073.67;2,047.40;2,070.13;2,070.13;5,437,160,000
May 30, 2024;17,794.89;17,876.20;17,780.09;17,852.36;17,852.36;3,818,750,000;16,878.63;16,900.46;16,690.36;16,737.08;16,737.08;6,659,290,000;2,043.73;2,063.19;2,043.73;2,056.60;2,056.60;3,818,750,000
May 29, 2024;18,007.01;18,007.01;17,791.61;17,794.89;17,794.89;3,552,750,000;16,879.35;16,989.60;16,873.97;16,920.58;16,920.58;6,652,480,000;2,050.46;2,050.46;2,036.13;2,036.19;2,036.19;3,552,750,000
May 28, 2024;18,110.60;18,116.10;17,950.54;18,007.01;18,007.01;3,751,540,000;16,988.31;17,032.66;16,917.51;17,019.88;17,019.88;6,293,380,000;2,075.72;2,086.28;2,057.69;2,066.85;2,066.85;3,751,540,000
May 24, 2024;18,028.47;18,147.53;18,028.47;18,110.60;18,110.60;3,005,510,000;16,786.79;16,947.80;16,771.58;16,920.79;16,920.79;5,836,040,000;2,061.00;2,070.23;2,056.35;2,069.67;2,069.67;3,005,510,000
May 23, 2024;18,236.64;18,270.77;18,005.06;18,028.47;18,028.47;3,869,520,000;16,996.39;16,996.39;16,678.37;16,736.03;16,736.03;7,752,800,000;2,089.52;2,090.39;2,040.68;2,048.41;2,048.41;3,869,520,000
May 22, 2024;18,337.91;18,337.91;18,192.80;18,236.64;18,236.64;3,847,130,000;16,839.02;16,855.27;16,712.09;16,801.54;16,801.54;7,277,340,000;2,093.73;2,096.89;2,075.78;2,081.71;2,081.71;3,847,130,000
May 21, 2024;18,335.62;18,352.09;18,300.15;18,337.91;18,337.91;3,662,240,000;16,736.10;16,839.02;16,719.97;16,832.62;16,832.62;6,245,090,000;2,097.47;2,101.60;2,094.02;2,098.36;2,098.36;3,662,240,000
May 20, 2024;18,388.26;18,421.92;18,329.48;18,335.62;18,335.62;3,420,100,000;16,702.02;16,823.83;16,695.69;16,794.87;16,794.87;6,861,320,000;2,096.49;2,109.70;2,095.00;2,102.50;2,102.50;3,420,100,000
May 17, 2024;18,317.38;18,389.46;18,317.04;18,388.26;18,388.26;3,578,120,000;16,708.49;16,726.41;16,613.84;16,685.97;16,685.97;9,587,280,000;2,103.67;2,104.13;2,090.44;2,095.72;2,095.72;3,578,120,000
May 16, 2024;18,378.49;18,389.78;18,317.38;18,317.38;18,317.38;3,817,470,000;16,738.11;16,797.83;16,693.45;16,698.32;16,698.32;11,932,600,000;2,107.09;2,107.36;2,095.82;2,096.25;2,096.25;3,817,470,000
May 15, 2024;18,220.81;18,389.51;18,220.81;18,378.49;18,378.49;4,360,810,000;16,601.14;16,749.74;16,544.09;16,742.39;16,742.39;8,538,990,000;2,105.42;2,112.32;2,095.43;2,109.46;2,109.46;4,360,810,000
May 14, 2024;18,133.95;18,226.80;18,133.95;18,220.81;18,220.81;4,763,580,000;16,391.16;16,526.27;16,386.43;16,511.18;16,511.18;7,270,240,000;2,078.74;2,088.36;2,076.03;2,085.69;2,085.69;4,763,580,000
May 13, 2024;18,162.05;18,242.93;18,128.74;18,133.95;18,133.95;4,255,710,000;16,400.31;16,407.05;16,334.86;16,388.24;16,388.24;4,452,750,000;2,072.14;2,081.45;2,062.12;2,062.12;2,062.12;4,255,710,000
