Date,Open,High,Low,Close,Adj Close,Volume
2023-06-14,15667.790039,15746.120117,15573.400391,15642.730469,15642.730469,4252110000
2023-06-15,15642.730469,15855.089844,15633.559570,15826.349609,15826.349609,4176690000
2023-06-16,15826.349609,15904.200195,15786.440430,15795.120117,15795.120117,6848600000
2023-06-20,15795.120117,15795.120117,15605.839844,15648.919922,15648.919922,4055790000
2023-06-21,15648.919922,15706.780273,15578.299805,15657.000000,15657.000000,3709330000
2023-06-22,15657.000000,15657.000000,15564.330078,15600.700195,15600.700195,3511000000
2023-06-23,15600.700195,15600.700195,15449.750000,15469.349609,15469.349609,6053620000
2023-06-26,15469.349609,15563.410156,15469.349609,15518.740234,15518.740234,3415030000
2023-06-27,15518.740234,15663.950195,15518.740234,15646.679688,15646.679688,3573500000
2023-06-28,15646.679688,15646.679688,15563.099609,15617.360352,15617.360352,3739330000
2023-06-29,15617.360352,15738.900391,15599.900391,15737.379883,15737.379883,3696660000
2023-06-30,15737.379883,15908.709961,15737.379883,15875.910156,15875.910156,3923450000
2023-07-03,15875.910156,15932.009766,15853.730469,15918.500000,15918.500000,2034280000
2023-07-05,15918.500000,15918.500000,15809.049805,15835.530273,15835.530273,3482620000
2023-07-06,15835.530273,15835.530273,15557.969727,15641.669922,15641.669922,3682020000
2023-07-07,15641.669922,15788.740234,15602.469727,15671.629883,15671.629883,3630480000
2023-07-10,15671.629883,15778.049805,15648.679688,15748.870117,15748.870117,3429600000
2023-07-11,15748.870117,15907.620117,15748.870117,15897.309570,15897.309570,3624220000
2023-07-12,15897.309570,16069.059570,15897.309570,16011.280273,16011.280273,3920290000
2023-07-13,16011.280273,16125.200195,16011.280273,16106.849609,16106.849609,3839530000
2023-07-14,16106.849609,16130.709961,16029.780273,16040.230469,16040.230469,3647450000
2023-07-17,16040.230469,16085.429688,15977.240234,16054.169922,16054.169922,3538240000
2023-07-18,16054.169922,16191.610352,16052.169922,16156.509766,16156.509766,4090010000
2023-07-19,16156.509766,16273.750000,16156.509766,16230.940430,16230.940430,4115670000
